Date,valor,acc_var,compound,Amount earned
2010-01-04,0.00032927,804.6485782087783,1730.3983041699207,1072.9683041699209
2010-01-05,0.00032927,804.7140228681386,1729.8287234661452,1072.3987234661454
2010-01-06,0.00032927,804.779762452016,1729.259330246475,1071.829330246475
2010-01-07,0.00032927,804.8452177810121,1728.6901244491978,1071.260124449198
2010-01-08,0.00032927,804.9106784337018,1728.1211060126213,1070.6911060126213
2010-01-11,0.00032927,804.9761444105155,1727.5522748750732,1070.1222748750733
2010-01-12,0.00032927,805.0416157118905,1726.983630974902,1069.5536309749023
2010-01-13,0.00032927,805.1070923382551,1726.4151742504769,1068.985174250477
2010-01-14,0.00032927,805.1725742900466,1725.8469046401858,1068.4169046401857
2010-01-15,0.00032927,805.2380615676946,1725.2788220824389,1067.8488220824388
2010-01-18,0.00032927,805.3035541716334,1724.710926515665,1067.2809265156652
2010-01-19,0.00032927,805.3690521022971,1724.1432178783143,1066.7132178783145
2010-01-20,0.00032927,805.4345553601183,1723.5756961088566,1066.1456961088566
2010-01-21,0.00032927,805.5000639455313,1723.0083611457821,1065.5783611457823
2010-01-22,0.00032927,805.5655778589681,1722.4412129276016,1065.0112129276017
2010-01-25,0.00032927,805.6310971008629,1721.8742513928455,1064.4442513928457
2010-01-26,0.0003289,805.6824794651961,1721.308113154429,1063.8781131544292
2010-01-27,0.00032927,805.7335670832473,1720.7415245926265,1063.3115245926265
2010-01-28,0.00032927,805.7846579407227,1720.175122530031,1062.745122530031
2010-01-29,0.00032927,805.8357520378211,1719.6089069052548,1062.1789069052547
2010-02-01,0.00032927,805.8868493747548,1719.0428776569288,1061.612877656929
2010-02-02,0.00032927,805.937949951722,1718.4770347237052,1061.047034723705
2010-02-03,0.00032927,805.9890537689352,1717.9113780442567,1060.4813780442569
2010-02-04,0.00032927,806.0401608265933,1717.3459075572753,1059.9159075572752
2010-02-05,0.00032927,806.0912711249081,1716.7806232014739,1059.3506232014738
2010-02-08,0.00032927,806.142384664079,1716.215524915585,1058.785524915585
2010-02-09,0.00032927,806.1935014443171,1715.650612638362,1058.2206126383621
2010-02-10,0.00032927,806.2446214658256,1715.085886308577,1057.655886308577
2010-02-11,0.00032927,806.2957447288062,1714.5213458650242,1057.0913458650243
2010-02-12,0.00032927,806.3468712334707,1713.9569912465165,1056.5269912465164
2010-02-17,0.00032927,806.3980009800216,1713.3928223918876,1055.9628223918876
2010-02-18,0.00032927,806.4491339686653,1712.8288392399913,1055.3988392399915
2010-02-19,0.00032927,806.5002701996074,1712.2650417297011,1054.835041729701
2010-02-22,0.00032927,806.5514096730492,1711.701429799911,1054.271429799911
2010-02-23,0.00032927,806.6025523892039,1711.138003389535,1053.708003389535
2010-02-24,0.00032927,806.6536983482713,1710.5747624375074,1053.1447624375073
2010-02-25,0.00032927,806.7048475504587,1710.0117068827822,1052.5817068827823
2010-02-26,0.00032927,806.7559999959725,1709.4488366643336,1052.0188366643338
2010-03-01,0.00032927,806.807155685019,1708.8861517211567,1051.4561517211569
2010-03-02,0.00032927,806.8583146178034,1708.3236519922652,1050.8936519922654
2010-03-03,0.00032927,806.909476794529,1707.761337416694,1050.3313374166942
2010-03-04,0.00032927,806.960642215405,1707.199207933498,1049.769207933498
2010-03-05,0.00032927,807.0118108806319,1706.6372634817515,1049.2072634817514
2010-03-08,0.00032927,807.0629827904233,1706.0755040005492,1048.6455040005494
2010-03-09,0.00032927,807.1141579449774,1705.5139294290063,1048.0839294290063
2010-03-10,0.00032927,807.1653363445047,1704.9525397062573,1047.5225397062572
2010-03-11,0.00032927,807.2165179892088,1704.3913347714572,1046.9613347714571
2010-03-12,0.00032927,807.2677028792963,1703.8303145637808,1046.4003145637807
2010-03-15,0.00032927,807.3188910149705,1703.2694790224232,1045.8394790224233
2010-03-16,0.00032927,807.3482435381334,1702.7088280865994,1045.2788280865993
2010-03-17,0.00032927,807.3775971284934,1702.148361695544,1044.718361695544
2010-03-18,0.00032927,807.4069517860937,1701.5880797885122,1044.1580797885122
2010-03-19,0.00032927,807.4363075109708,1701.0279823047786,1043.5979823047787
2010-03-22,0.00032927,807.4656643031645,1700.4680691836386,1043.0380691836385
2010-03-23,0.00032927,807.4950221627125,1699.9083403644067,1042.478340364407
2010-03-24,0.00032927,807.5243810896551,1699.3487957864183,1041.9187957864183
2010-03-25,0.00032927,807.5537410840309,1698.7894353890279,1041.359435389028
2010-03-26,0.00032927,807.5831021458748,1698.2302591116104,1040.8002591116106
2010-03-29,0.00032927,807.6124642752322,1697.6712668935604,1040.2412668935604
2010-03-30,0.00032927,807.6418274721387,1697.1124586742928,1039.6824586742928
2010-03-31,0.00032927,807.6711917366339,1696.5538343932421,1039.1238343932423
2010-04-01,0.00032927,807.7005570687538,1695.995393989863,1038.565393989863
2010-04-05,0.00032927,807.7299234685406,1695.4371374036305,1038.0071374036306
2010-04-06,0.00032927,807.7592909360313,1694.8790645740382,1037.4490645740384
2010-04-07,0.00032927,807.7886594712643,1694.3211754406009,1036.8911754406008
2010-04-08,0.00032927,807.8180290742819,1693.763469942853,1036.3334699428528
2010-04-09,0.00032927,807.8473997451161,1693.2059480203486,1035.7759480203486
2010-04-12,0.00032927,807.8767714838145,1692.6486096126616,1035.2186096126616
2010-04-13,0.00032927,807.9061442904085,1692.091454659386,1034.661454659386
2010-04-14,0.00032927,807.9355181649412,1691.534483100136,1034.104483100136
2010-04-15,0.00032927,807.9648931074493,1690.9776948745448,1033.547694874545
2010-04-16,0.00032927,807.9942691179733,1690.4210899222662,1032.9910899222664
