Date,valor,acc_var,compound,Amount earned
2019-02-06,0.0002462,717.5242676758824,1594.926043349913,937.4960433499131
2019-02-07,0.0002462,717.7009221505842,1595.318714141786,937.888714141786
2019-02-08,0.0002462,717.6544582872687,1595.7114816092078,938.2814816092078
2019-02-11,0.0002462,717.1619107497078,1596.10434577598,938.67434577598
2019-02-12,0.0002462,717.1154817819205,1596.4973066659102,939.0673066659102
2019-02-13,0.0002462,717.2920356135354,1596.8903643028116,939.4603643028116
2019-02-14,0.0002462,717.4686329127034,1597.283518710503,939.853518710503
2019-02-15,0.0002462,717.4221840877625,1597.6767699128095,940.2467699128096
2019-02-18,0.0002462,716.9297959668718,1598.0701179335622,940.6401179335622
2019-02-19,0.0002462,716.8833820261657,1598.4635627965974,941.0335627965975
2019-02-20,0.0002462,717.0598787148206,1598.8571045257584,941.4271045257584
2019-02-21,0.0002462,717.2364188569603,1599.2507431448926,941.8207431448926
2019-02-22,0.0002462,717.1899850655268,1599.644478677855,942.214478677855
2019-02-25,0.0002462,716.9206206440165,1600.0383111485055,942.6083111485055
2019-02-26,0.0002462,716.8742072973173,1600.4322405807104,943.0022405807105
2019-02-27,0.0002462,717.050701727154,1600.8262669983417,943.3962669983417
2019-02-28,0.0002462,717.2272396099194,1601.2203904252767,943.7903904252768
2019-03-01,0.0002462,717.1808064127493,1601.6146108853998,944.1846108853998
2019-03-06,0.0002462,716.4657917539147,1602.0089284025998,944.5789284025999
2019-03-07,0.0002462,716.6421856318447,1602.4033430007726,944.9733430007726
2019-03-08,0.0002462,716.5957903109916,1602.7978547038194,945.3678547038195
2019-03-11,0.0002462,716.123749716967,1603.192463535648,945.762463535648
2019-03-12,0.0002462,716.0971675736581,1603.5871695201704,946.1571695201704
2019-03-13,0.0002462,716.2734706963148,1603.9819726813064,946.5519726813064
2019-03-14,0.0002462,716.4498172248003,1604.3768730429808,946.9468730429809
2019-03-15,0.0002462,716.4232229780343,1604.7718706291241,947.3418706291242
2019-03-18,0.0002462,716.1937105544224,1605.1669654636733,947.7369654636733
2019-03-19,0.0002462,716.1671258142044,1605.5621575705707,948.1321575705707
2019-03-20,0.0002462,716.3434461605798,1605.9574469737645,948.5274469737645
2019-03-21,0.0002462,716.5198099170245,1606.3528336972097,948.9228336972097
2019-03-22,0.0002462,716.4932130721686,1606.7483177648662,949.3183177648663
2019-03-25,0.0002462,716.0607967210846,1607.1438992007002,949.7138992007002
2019-03-26,0.0002462,716.034216914557,1607.5395780286835,950.1095780286836
2019-03-27,0.0002462,716.2105045387614,1607.9353542727943,950.5053542727943
2019-03-28,0.0002462,716.3868355649789,1608.3312279570164,950.9012279570164
2019-03-29,0.0002462,716.3602436560604,1608.7271991053397,951.2971991053397
2019-04-01,0.0002462,716.130751408421,1609.1232677417595,951.6932677417595
2019-04-02,0.0002462,716.1041690052157,1609.5194338902777,952.0894338902777
2019-04-03,0.0002462,716.2804738516248,1609.9156975749015,952.4856975749016
2019-04-04,0.0002462,716.4568221042872,1610.3120588196446,952.8820588196446
2019-04-05,0.0002462,716.4302275975035,1610.7085176485261,953.2785176485262
2019-04-08,0.0002462,715.9978492592692,1611.1050740855712,953.6750740855713
2019-04-09,0.0002462,715.9712717893203,1611.5017281548112,954.0717281548112
2019-04-10,0.0002462,716.1475439164349,1611.898479880283,954.4684798802831
2019-04-11,0.0002462,716.3238594417471,1612.2953292860298,954.8653292860298
2019-04-12,0.0002462,716.2972698704714,1612.6922763961004,955.2622763961004
2019-04-15,0.0002462,715.8649717745802,1613.089321234549,955.6593212345491
2019-04-16,0.0002462,715.8383992369758,1613.486463825437,956.0564638254372
2019-04-17,0.0002462,716.0146386508679,1613.8837041928311,956.4537041928312
2019-04-18,0.0002462,716.1909214549039,1614.2810423608037,956.8510423608037
2019-04-22,0.0002462,715.5691976629353,1614.678478353433,957.2484783534331
2019-04-23,0.0002462,715.5558844456398,1615.0760121948038,957.6460121948038
2019-04-24,0.0002462,715.7320543043903,1615.4736439090063,958.0436439090064
2019-04-25,0.0002462,715.9082675361602,1615.8713735201368,958.4413735201368
2019-04-26,0.0002462,715.8949480104445,1616.2692010522976,958.8392010522977
2019-04-29,0.0002462,715.5026340533454,1616.667126529597,959.237126529597
2019-04-30,0.0002462,715.4893220744699,1617.0651499761489,959.6351499761489
2019-05-02,0.0002462,715.6654755455647,1617.463271416073,960.033271416073
2019-05-03,0.0002462,715.6521605370127,1617.8614908734958,960.4314908734958
2019-05-06,0.0002462,715.2599796286465,1618.259808372549,960.8298083725491
2019-05-07,0.0002462,715.2466721643743,1618.6582239373706,961.2282239373707
2019-05-08,0.0002462,715.4227658950613,1619.0567375921044,961.6267375921044
2019-05-09,0.0002462,715.5989029800247,1619.4553493608996,962.0253493608997
2019-05-10,0.0002462,715.7750834299385,1619.8540592679126,962.4240592679126
2019-05-13,0.0002462,715.3828351592208,1620.2528673373042,962.8228673373043
2019-05-14,0.0002462,715.369525409213,1620.651773593243,963.221773593243
2019-05-15,0.0002462,715.5456493863687,1621.0507780599016,963.6207780599017
2019-05-16,0.0002462,715.7218167252478,1621.44988076146,964.0198807614601
2019-05-17,0.0002462,715.8980274365256,1621.8490817221034,964.4190817221034
2019-05-20,0.0002462,715.5057117918863,1622.2483809660237,964.8183809660237
2019-05-21,0.0002462,715.4923997557503,1622.6477785174175,965.2177785174175
2019-05-22,0.0002462,715.6685539845702,1623.0472744004885,965.6172744004886
2019-05-23,0.0002462,715.8447515825612,1623.4468686394462,966.0168686394462
2019-05-24,0.0002462,715.8314332385643,1623.8465612585055,966.4165612585056
2019-05-27,0.0002462,715.4391540878743,1624.2463522818873,966.8163522818874
2019-05-28,0.0002462,715.4258432900477,1624.6462417338194,967.2162417338194
2019-05-29,0.0002462,715.6019811326659,1625.0462296385342,967.6162296385343
2019-05-30,0.0002462,715.7781623404207,1625.4463160202713,968.0163160202713
2019-05-31,0.0002462,715.7648452353235,1625.8465009032755,968.4165009032755
2019-06-03,0.0002462,715.3726025751852,1626.2467843117981,968.8167843117982
2019-06-04,0.0002462,715.3592930155548,1626.6471662700956,969.2171662700956
2019-06-05,0.0002462,715.5354144734954,1627.0476468024315,969.6176468024315
2019-06-06,0.0002462,715.7115792925388,1627.4482259330744,970.0182259330744
2019-06-07,0.0002462,715.6982634262238,1627.848903686299,970.4189036862991
2019-06-10,0.0002462,715.3060572532452,1628.249680086387,970.8196800863869
2019-06-11,0.0002462,715.292748931698,1628.6505551576245,971.2205551576245
2019-06-12,0.0002462,715.4688540064851,1629.0515289243044,971.6215289243045
2019-06-13,0.0002462,715.6450024383415,1629.4526014107257,972.0226014107258
2019-06-14,0.0002462,715.631687810693,1629.8537726411935,972.4237726411935
2019-06-17,0.0002462,715.2395181214781,1630.2550426400176,972.8250426400176
2019-06-18,0.0002462,715.2262110378937,1630.6564114315156,973.2264114315157
2019-06-19,0.0002462,715.4022997310512,1631.0578790400102,973.6278790400103
2019-06-21,0.0002462,715.3889896189057,1631.4594454898302,974.0294454898302
2019-06-24,0.0002462,715.0035935543773,1631.86111080531,974.4311108053101
2019-06-25,0.0002462,714.9969314231929,1632.2628750107904,974.8328750107904
2019-06-26,0.0002462,715.1729636677093,1632.6647381306182,975.2347381306182
2019-06-27,0.0002462,715.3490392513644,1633.066700189146,975.6367001891462
2019-06-28,0.0002462,715.5251581848281,1633.468761210733,976.038761210733
2019-07-01,0.0002462,715.3357086136386,1633.8709212197432,976.4409212197432
2019-07-02,0.0002462,715.3290433879332,1634.2731802405476,976.8431802405477
2019-07-03,0.0002462,715.5051573984153,1634.675538297523,977.245538297523
2019-07-04,0.0002462,715.6813147681669,1635.077995415052,977.6479954150522
2019-07-05,0.0002462,715.674646322234,1635.4805516175234,978.0505516175234
2019-07-08,0.0002462,715.3023831061441,1635.883206929332,978.4532069293319
2019-07-09,0.0002462,715.2957181909527,1636.2859613748783,978.8559613748783
2019-07-10,0.0002462,715.4718239967713,1636.6888149785686,979.2588149785687
2019-07-11,0.0002462,715.6479731598394,1637.0917677648167,979.6617677648168
2019-07-12,0.0002462,715.6413050245712,1637.4948197580406,980.0648197580407
2019-07-15,0.0002462,715.2690591511923,1637.8979709826651,980.4679709826652
2019-07-16,0.0002462,715.2623945465012,1638.3012214631215,980.8712214631215
2019-07-17,0.0002462,715.4384921480387,1638.704571223846,981.274571223846
2019-07-18,0.0002462,715.6146331048055,1639.1080202892815,981.6780202892816
2019-07-19,0.0002462,715.6079652801898,1639.5115686838767,982.0815686838768
2019-07-22,0.0002462,715.2357367487124,1639.915216432087,982.485216432087
2019-07-23,0.0002462,715.2290724545057,1640.3189635583728,982.8889635583729
2019-07-24,0.0002462,715.405161852144,1640.722810087201,983.292810087201
2019-07-25,0.0002462,715.5812946029921,1641.1267560430447,983.6967560430447
2019-07-26,0.0002462,715.5746270890098,1641.5308014503826,984.1008014503826
2019-07-29,0.0002462,715.2024158986289,1641.9349463336998,984.5049463336999
2019-07-30,0.0002462,715.195751914893,1642.3391907174873,984.9091907174874
2019-07-31,0.0002462,715.3718331090145,1642.7435346262423,985.3135346262424
2019-08-01,0.00022751,715.5479576543261,1643.1479780844672,985.7179780844673
2019-08-02,0.00022751,715.5279202759875,1643.5218106809614,986.0918106809614
2019-08-05,0.00022751,715.1490338961297,1643.8957283281093,986.4657283281093
2019-08-06,0.00022751,715.1356710506185,1644.2697310452613,986.8397310452614
2019-08-07,0.00022751,715.2983715671393,1644.6438188517714,987.2138188517714
2019-08-08,0.00022751,715.4611090996544,1645.0179917669984,987.5879917669985
2019-08-09,0.00022751,715.4477404228936,1645.3922498103052,987.9622498103053
2019-08-12,0.00022751,715.0822221654289,1645.7665930010596,988.3365930010597
2019-08-13,0.00022751,715.2449105217938,1646.1410213586335,988.7110213586335
2019-08-14,0.00022751,715.4076358913866,1646.5155349024028,989.0855349024029
2019-08-15,0.00022751,715.5703982826283,1646.8901336517483,989.4601336517484
2019-08-16,0.00022751,715.5570275637551,1647.2648176260554,989.8348176260555
2019-08-19,0.00022751,715.1914534721002,1647.6395868447134,990.2095868447135
2019-08-20,0.00022751,715.1780898339623,1648.0144413271164,990.5844413271165
2019-08-21,0.00022751,715.3408000011805,1648.3893810926627,990.9593810926627
2019-08-22,0.00022751,715.5035471865887,1648.764406160755,991.3344061607551
2019-08-23,0.00022751,715.4901777168556,1649.1395165508004,991.7095165508005
2019-08-26,0.00022751,715.1246377784145,1649.5147122822111,992.0847122822112
2019-08-27,0.00022751,715.1112753887543,1649.8899933744024,992.4599933744024
2019-08-28,0.00022751,715.2739703550179,1650.265359846795,992.8353598467951
2019-08-29,0.00022751,715.4367023360134,1650.6408117188137,993.2108117188137
2019-08-30,0.00022751,715.4233341153029,1651.0163490098878,993.5863490098878
2019-09-02,0.00022751,715.0578283268845,1651.391971739451,993.9619717394511
2019-09-03,0.00022751,715.0444671855859,1651.7676799269416,994.3376799269416
2019-09-04,0.00022751,715.2071469523153,1652.1434735918017,994.7134735918017
2019-09-05,0.00022751,715.3698637303183,1652.5193527534784,995.0893527534785
2019-09-06,0.00022751,715.3564967585136,1652.8953174314236,995.4653174314236
2019-09-09,0.00022751,714.9910251169281,1653.2713676450924,995.8413676450924
2019-09-10,0.00022751,714.9776652238742,1653.6475034139453,996.2175034139453
2019-09-11,0.00022751,715.1403297924893,1654.023724757447,996.5937247574471
2019-09-12,0.00022751,715.3030313689204,1654.4000316950667,996.9700316950667
2019-09-13,0.00022751,715.2896656459045,1654.7764242462774,997.3464242462775
2019-09-16,0.00022751,715.1002424929316,1655.1529024305578,997.7229024305578
2019-09-17,0.00022751,715.0868805591072,1655.5294662673896,998.0994662673896
2019-09-18,0.00022751,715.2495699753032,1655.90611577626,998.4761157762601
2019-09-19,0.00020872000000000002,715.4122964049683,1656.2828509766603,998.8528509766603
2019-09-20,0.00020872000000000002,715.3854893519953,1656.6285503333163,999.1985503333163
2019-09-23,0.00020872000000000002,715.0065707283542,1656.974321844342,999.5443218443421
2019-09-24,0.00020872000000000002,714.9797788782366,1657.3201655247976,999.8901655247977
2019-09-25,0.00020872000000000002,715.1290094576842,1657.666081389746,1000.2360813897461
2019-09-26,0.00020872000000000002,715.2782711845382,1658.0120694542538,1000.5820694542539
2019-09-27,0.00020872000000000002,715.2514691535941,1658.3581297333903,1000.9281297333904
2019-09-30,0.00020872000000000002,714.8726215165055,1658.7042622422287,1001.2742622422287
